-12,-17,24,2581,2580
-11,-17,32,965,2683
-13,-17,40,985,2405
-13,-17,48,994,2350
-13,-17,56,1018,2287
-12,-17,64,1131,2485
-11,-17,72,1542,2817
-12,-17,80,500,2476
-12,-17,88,2487,2486
-8,-9,-90,1580,3718
-6,-9,-89,106,4848
-6,-9,-80,220,4848
-7,-9,-73,4401,4400
-6,-9,-65,1046,4523
-7,-9,-57,1712,4015
-6,-9,-49,4524,4523
-5,-9,-41,5423,5422
-5,-9,-33,5403,5402
-6,-9,-25,4526,4525
-8,-9,-17,2028,3893
-7,-9,-9,2425,4003
-6,-9,-1,713,5167
-4,-9,8,6601,6600
-6,-9,16,2101,5042
-6,-9,24,524,5004
-6,-9,32,700,5044
-7,-9,40,963,4277
-6,-9,48,979,4779
-5,-9,56,1006,6126
-5,-9,64,1084,5644
-6,-9,72,304,4855
-5,-9,80,1009,6104
-4,-9,88,1448,7013
1,-1,-90,1589,2730
1,-1,-89,2731,2730
0,-1,-80,423,2730
0,-1,-73,424,2730
0,-1,-65,2731,2730
0,-1,-57,10,2730
2,-1,-49,2731,2730
1,-1,-41,2731,2730
0,-1,-33,2731,2730
0,-1,-25,2731,2730
0,-1,-17,2731,2730
1,-1,-9,375,2730
1,-1,-1,404,2730
1,-1,8,2731,2730
1,-1,16,2731,2730
0,-1,24,1604,2730
0,-1,32,958,2730
0,-1,40,207,2730
0,-1,48,741,2730
4,-1,56,962,2730
4,-1,64,1954,2730
1,-1,72,428,2730
2,-1,80,267,2730
2,-1,88,1712,2730
7,8,-90,1636,2730
8,8,-89,1904,2730
8,8,-80,38,2730
8,8,-73,2731,2730
10,8,-65,2731,2730
9,8,-57,1539,2730
9,8,-49,2731,2730
8,8,-41,185,2730
8,8,-33,2731,2730
6,8,-25,68,2730
8,8,-17,2731,2730
9,8,-9,2731,2730
9,8,-1,2731,2730
8,8,8,412,2730
8,8,16,1702,2730
8,8,24,1642,2730
8,8,32,870,2730
8,8,40,2731,2730
12,8,48,2086,2730
10,8,56,2168,2730
9,8,64,2731,2730
10,8,72,816,2730
8,8,80,2731,2730
10,8,88,2731,2730
16,16,-90,1703,2730
15,16,-89,2,2730
15,16,-80,2731,2730
16,16,-73,2731,2730
6,16,-65,354,2730
16,16,-57,1798,2730
15,16,-49,68,2730
14,16,-41,2731,2730
14,16,-33,946,2730
15,16,-25,2731,2730
17,16,-17,2731,2730
17,16,-9,2731,2730
15,16,-1,330,2730
16,16,8,1467,2730
16,16,16,26,2730
17,16,24,1214,2730
16,16,32,2112,2730
19,16,40,2731,2730
18,16,48,2731,2730
16,16,56,2268,2730
16,16,64,2731,2730
17,16,72,2731,2730
16,16,80,5,2730
16,16,88,2731,2730
24,24,-90,241,2730
23,24,-89,2114,2730
22,24,-80,2731,2730
23,24,-73,2731,2730
24,24,-65,1265,2730
18,24,-57,989,2730
22,24,-49,2731,2730
21,24,-41,2731,2730
22,24,-33,2731,2730
22,24,-25,332,2730
22,24,-17,2731,2730
21,24,-9,2731,2730
21,24,-1,2731,2730
24,24,8,2731,2730
23,24,16,2731,2730
23,24,24,1096,2730
23,24,32,2731,2730
23,24,40,1732,2730
21,24,48,707,2730
22,24,56,2731,2730
25,24,64,2731,2730
26,24,72,2731,2730
24,24,80,2731,2730
21,24,88,522,2730
30,32,-90,731,2730
30,32,-89,2313,2730
30,32,-80,2731,2730
30,32,-73,1143,2730
30,32,-65,2731,2730
31,32,-57,261,2730
30,32,-49,78,2730
30,32,-41,2731,2730
30,32,-33,503,2730
28,32,-25,2731,2730
29,32,-17,2731,2730
29,32,-9,2731,2730
31,32,-1,2731,2730
31,32,8,2731,2730
31,32,16,2731,2730
30,32,24,2731,2730
29,32,32,243,2730
30,32,40,2731,2730
32,32,48,2731,2730
33,32,56,2731,2730
31,32,64,2731,2730
32,32,72,2731,2730
31,32,80,336,2730
30,32,88,1163,2730
38,40,-90,6,2730
37,40,-89,2139,2730
37,40,-80,2731,2730
38,40,-73,2731,2730
39,40,-65,156,2730
37,40,-57,2731,2730
37,40,-49,2731,2730
36,40,-41,2731,2730
36,40,-33,2731,2730
39,40,-25,2731,2730
40,40,-17,2731,2730
38,40,-9,2731,2730
37,40,-1,2731,2730
38,40,8,2731,2730
37,40,16,780,2730
37,40,24,2731,2730
40,40,32,2731,2730
40,40,40,2731,2730
39,40,48,2731,2730
38,40,56,2731,2730
38,40,64,813,2730
37,40,72,1893,2730
38,40,80,756,2730
39,40,88,2731,2730
