-22,-25,-41,1334,1438
-23,-25,-33,1295,1397
-21,-25,-25,1510,1509
-20,-25,-17,1585,1584
-20,-25,-9,1538,1537
-21,-25,-1,1479,1478
-22,-25,8,1429,1428
-21,-25,16,1511,1510
-19,-25,24,1617,1616
-18,-25,32,1709,1708
-18,-25,40,1729,1728
-20,-25,48,1597,1596
-20,-25,56,1551,1550
-19,-25,64,1650,1649
-18,-25,72,1716,1715
-17,-25,80,1878,1877
-16,-25,88,1792,1903
-16,-17,-90,1137,1966
-14,-17,-89,1288,2217
-14,-17,-80,1417,2169
-14,-17,-73,1461,2185
-14,-17,-65,1709,2139
-14,-17,-57,2148,2147
-14,-17,-49,1356,2210
-13,-17,-41,1268,2285
-14,-17,-33,1215,2244
-15,-17,-25,122,2054
-15,-17,-17,2083,2082
-14,-17,-9,1610,2220
-14,-17,-1,2254,2253
-13,-17,8,934,2397
-13,-17,16,269,2331
-14,-17,24,599,2190
-12,-17,32,1093,2572
-14,-17,40,2191,2190
-10,-17,48,2884,2883
-11,-17,56,2874,2873
-10,-17,64,3077,3076
-12,-17,72,2565,2564
-13,-17,80,787,2307
-12,-17,88,2448,2447
-6,-9,-90,929,4830
-6,-9,-89,1260,4522
-6,-9,-80,1409,4792
-7,-9,-73,1426,4269
-7,-9,-65,1661,4237
-7,-9,-57,1916,4401
-7,-9,-49,1545,4271
-7,-9,-41,92,4402
-7,-9,-33,996,4032
-6,-9,-25,4526,4525
-6,-9,-17,4677,4676
-7,-9,-9,4275,4274
-7,-9,-1,4053,4052
-6,-9,8,5170,5169
-5,-9,16,1346,6080
-6,-9,24,848,5188
-5,-9,32,46,5387
-5,-9,40,5166,5645
-6,-9,48,4569,4568
-5,-9,56,5833,5832
-3,-9,64,1379,8719
-5,-9,72,159,5601
-4,-9,80,6356,6355
-7,-9,88,115,4261
0,-1,-90,536,2730
0,-1,-89,1267,2730
0,-1,-80,1392,2730
0,-1,-73,1454,2730
-3,-1,-65,1649,9969
0,-1,-57,1164,2730
0,-1,-49,215,2730
0,-1,-41,151,2730
0,-1,-33,46622,46621
0,-1,-25,46814,46813
1,-1,-17,2731,2730
1,-1,-9,2731,2730
0,-1,-1,2731,2730
1,-1,8,730,2730
0,-1,16,2731,2730
0,-1,24,2731,2730
-1,-1,32,17549,17548
3,-1,40,317,2730
